"endTime","artistName","trackName","msPlayed"
"2022-04-07 19:53","Porta","Víctima y Verdugo",247173
"2022-04-07 19:57","MisterWives","Stepped On A Bee",227405
"2022-04-07 20:03","Porta","El 90% de Mí Eres Tu",336614
"2022-04-07 20:04","Porta","Tetris Rap 1.5",96273
"2022-04-07 20:09","Porta","Entre Avenidas y Aceras",257779
"2022-04-07 20:14","Zara Larsson","She's Not Me, Pt. 1 & 2",332382
"2022-04-07 20:18","Porta","Mi Rosa Negra 1.5",245454
"2022-04-07 20:22","Bebe Rexha","F.F.F. (feat. G-Eazy)",202400
"2022-04-07 20:26","Porta","Mi Cuento de Hadas",254612
"2022-04-07 20:30","MisterWives","SUPERBLOOM",213546
"2022-04-07 20:33","MisterWives","Oh Love",197706
"2022-04-07 20:36","Laura Shigihara","Zombies on Your Lawn",159381
"2022-04-07 20:41","Porta","Nuestra Historia de Dos",313940
"2022-04-07 20:44","Luna Snow","Fly Away - From ""MARVEL Future Fight""",206880
"2022-04-07 20:49","Porta","Algo Ha Cambiado",266293
"2022-04-07 21:18","Tessa Violet","Games",221051
"2022-04-07 21:21","Iggy Azalea","Switch",189600
"2022-04-07 21:24","Tessa Violet","On My Own",176093
"2022-04-07 21:27","Bebe Rexha","I'm a Mess",195519
"2022-04-07 21:30","MisterWives","Not Your Way",186933
"2022-04-07 22:08","Porta","He Cambiado",124297
"2022-04-08 12:46","Porta","No Hay Truco",6064
"2022-04-08 12:46","League of Legends","Legends Never Die",7023
"2022-04-08 13:44","League of Legends","Legends Never Die",1726
"2022-04-08 13:46","Keyblade","Mickey Mouse vs Bugs Bunny (Epicas Batallas De Rap Del Frikisimo)",149327
"2022-04-08 13:47","Porta","La Primera Vez",5787
"2022-04-09 12:54","lovelytheband","buzz cut (feat. MisterWives)",218775
"2022-04-09 12:58","MisterWives","SUPERBLOOM",213546
"2022-04-09 13:11","MisterWives","Kings And Queens",160517
"2022-04-09 17:20","Tessa Violet","Not over You",193493
"2022-04-09 17:24","Tessa Violet","Crush",216266
"2022-04-09 17:28","Zarcort","Call of Duty: Black Ops 3 Rap",130560
"2022-04-10 15:52","Zarcort","Call of Duty: Black Ops 3 Rap",292081
"2022-04-10 15:54","Porta","Nunca volverá",144312
"2022-04-10 15:56","Porta","Dragon Ball Rap",119880
"2022-04-10 15:59","MisterWives","muse",172080
"2022-04-10 16:01","Porta","Tetris Rap 1.5",96273
"2022-04-10 16:02","Porta","Cosas de la Vida",79429
"2022-04-10 16:06","MisterWives","SUPERBLOOM",213546
"2022-04-10 16:11","Porta","Acción y Reacción 1.5",333732
"2022-04-10 16:22","MisterWives","oxygen",63160
"2022-04-10 19:15","Porta","Reset",1774
"2022-04-10 19:15","K/DA","VILLAIN",2467
"2022-04-10 19:15","C-Kan","M-E-X-I-C-O",4366
"2022-04-10 19:15","Mark Ronson","Uptown Funk (feat. Bruno Mars)",1123
"2022-04-10 19:15","C-Kan","Esta Vida Me Encanta Remix (feat. Smoky, MC Davo, T-Killa, Don Aero, Tanke, Little el Crack, Big Metra, Santa RM, Zimple & DJ Maxo)",1636
"2022-04-10 19:21","Porta","Trastorno Bipolar (Con Christian)",343253
"2022-04-10 19:25","MisterWives","Chasing This",240266
"2022-04-10 19:27","Porta","Sin Ti",133613
"2022-04-10 19:31","C-Kan","Mujer Bonita",193923
"2022-04-10 19:33","Jax Anderson","Good Day (feat. MisterWives and Curtis Roach)",166761
"2022-04-10 19:33","MisterWives","Never Give Up On Me",23
"2022-04-10 19:33","Santa RM","Cuídala Bien",616
"2022-04-10 19:35","Porta","Días Grises",763
"2022-04-10 19:35","Porta","Imperfecto",2115
"2022-04-10 19:35","Keyblade","Toma Dos Tazas (Cuphead Rap)",92587
"2022-04-10 19:36","Clean Bandit","Symphony (feat. Zara Larsson)",31114
"2022-04-10 19:37","Tessa Violet","Bad Ideas",57927
"2022-04-10 19:37","Lorde","Royals",29021
"2022-04-10 19:37","MisterWives","stories",1603
"2022-04-10 19:37","Zarcort","Call of Duty: Black Ops 3 Rap",6957
"2022-04-11 10:32","Zarcort","Call of Duty: Black Ops 3 Rap",295099
"2022-04-11 10:36","Porta","Mi Cuento de Hadas",254612
"2022-04-11 10:40","MisterWives","Drummer Boy",240266
"2022-04-11 10:43","Porta","El Fin Del Mundo",200400
"2022-04-11 10:45","Porta","Inmortal",85613
"2022-04-11 10:47","Tessa Violet","Words Ain't Enough",124415
"2022-04-11 10:51","Porta","Rap & Roll",223636
"2022-04-11 10:54","MisterWives","Twisted Tongue",202093
"2022-04-11 10:59","Porta","Estados",300826
"2022-04-11 11:03","C-Kan","Quiero Que Sepas (feat. MC Magic)",218075
"2022-04-11 11:07","Porta","Dragon Ball Rap 1.5",289396
"2022-04-11 11:08","Porta","No Hay Final Feliz",1498
"2022-04-11 11:08","Iggy Azalea","Switch",10634
"2022-04-11 11:19","C-Kan","De Que Me Sirve",105063
"2022-04-11 17:53","C-Kan","De Que Me Sirve",121583
"2022-04-12 10:59","Keyblade","Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2)",970
"2022-04-12 10:59","C-Kan","Voy Por El Sueno de Muchos (feat. Zimple)",2340
"2022-04-12 10:59","Porta","Estados",963
"2022-04-12 10:59","Luna Snow","I Really Wanna",3081
"2022-04-12 11:02","Jax Anderson","Good Day (feat. MisterWives and Curtis Roach)",2316
"2022-04-12 11:02","MisterWives","SUPERBLOOM",199435
"2022-04-12 11:05","Tessa Violet","YES MOM",162360
"2022-04-12 11:08","Ariana Grande","Problem",193920
"2022-04-12 11:15","Santaflow","Segundos Fuera (feat. Encyser, Kurricé, Porta & Norykko)",392906
"2022-04-12 11:18","Keyblade","Toma Dos Tazas (Cuphead Rap)",162676
"2022-04-12 11:21","Santa RM","Yo Vengo",178480
"2022-04-12 11:23","MisterWives","Band Camp",166760
"2022-04-12 11:28","Porta","Acción Y Reacción",263173
"2022-04-12 11:31","MisterWives","Imagination Infatuation",213586
"2022-04-12 11:37","Porta","No Hay Truco",361029
"2022-04-12 11:40","Porta","Nueva Generación",1171
"2022-04-12 11:40","Santaflow","La Locura Está en Mí - Streaming Remaster",1290
"2022-04-12 11:40","Lorde","Royals",1586
"2022-04-12 11:40","Porta","Víctima y Verdugo",1182
"2022-04-12 11:40","MisterWives","Stepped On A Bee",167219
"2022-04-12 11:40","Porta","Imperfecto",8062
"2022-04-12 11:40","MisterWives","Reflections",1666
"2022-04-12 11:41","MisterWives","Queens",974
"2022-04-12 11:41","Tessa Violet","Prelude",1127
"2022-04-12 11:41","Iggy Azalea","Switch",837
"2022-04-12 11:41","Porta","El 90% de Mí Eres Tu",1631
"2022-04-12 11:43","K/DA","THE BADDEST",162600
"2022-04-12 11:47","TINI","Consejo de Amor",199720
"2022-04-12 11:47","Porta","Querida Alma Gemela",23
"2022-04-12 11:47","Porta","Rap & Roll",51001
"2022-04-12 11:48","Porta","Entre Avenidas y Aceras",1215
"2022-04-12 11:48","MisterWives","muse",830
"2022-04-12 11:50","Marshmello","FRIENDS",142758
"2022-04-12 11:50","Tessa Violet","Dream",1196
"2022-04-12 11:50","Santa RM","En Este Track",1713
"2022-04-12 11:50","Zara Larsson","Ruin My Life",3650
"2022-04-12 11:50","Santa RM","Daño Colateral",23
"2022-04-12 14:00","MisterWives","Box Around The Sun",942
"2022-04-12 14:00","Tessa Violet","YES MOM",162360
"2022-04-12 14:00","GROUPLOVE","Tongue Tied",37146
"2022-04-12 14:00","MisterWives","Hurricane",653
"2022-04-12 14:03","MisterWives","Queens",2107
"2022-04-12 14:03","Tessa Violet","I Like (the idea of) You",168480
"2022-04-12 14:03","GROUPLOVE","Raspberry",1380
"2022-04-12 14:03","Tessa Violet","Words Ain't Enough",9989
"2022-04-12 14:03","Bleachers","Don't Take The Money",2733
"2022-04-12 14:06","MisterWives","Our Own House",177550
"2022-04-12 14:10","MisterWives","Band Camp",1563
"2022-04-12 14:10","GROUPLOVE","Inside Out",1369
"2022-04-12 14:10","MisterWives","SUPERBLOOM",213546
"2022-04-12 14:10","MisterWives","stories",1130
"2022-04-12 14:10","Jax Anderson","Good Day (feat. MisterWives and Curtis Roach)",25407
"2022-04-12 14:11","MisterWives","Vagabond",1067
"2022-04-12 14:11","MisterWives","Stepped On A Bee",1125
"2022-04-12 14:11","YACHT","Second Summer - RAC Mix",380
